,DISTRICT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
286,CHHATARPUR,3361,3680,3042,3528,3651,4667,5103,4928,5047,4692,5133,4521,4527
287,CHHINDWARA,3672,3834,3539,4126,3963,3855,3880,4589,5172,5190,5180,5310,5142
288,DAMOH,2879,2785,2676,2645,2275,2444,2755,2904,3130,3399,3649,3248,2630
289,DATIYA,1866,1875,1987,2089,2179,2338,2488,2388,2615,2530,2614,2441,2267
290,DEWAS,5039,6531,8478,7197,6075,5420,5648,5593,4790,5692,5434,5369,4980
291,DHAR,4910,5397,4938,5045,5227,4835,4620,5389,5816,5737,5547,5558,6164
292,DINDORI,821,865,1035,826,725,660,575,750,907,994,1038,1268,1990
293,GUNA,6001,6268,3578,3421,3421,3494,3501,3116,3133,3459,3708,3592,3788
294,GWALIOR,6846,7690,7833,8428,8765,10008,9838,9104,10029,11337,11015,10313,10693
295,HARDA,746,876,828,1092,1098,1284,1418,1205,1379,1362,1306,1318,1100
296,HOSHANGABAD,2741,3156,3361,3484,3546,3066,3174,3562,3562,4284,4078,3298,3630
297,INDORE,13063,14934,15998,15350,16026,16127,16874,19587,18306,18473,18569,21091,22249
298,INDORE RLY.,353,278,202,288,320,265,292,337,304,275,346,427,471
299,JABALPUR,8333,9290,10004,9524,9463,10199,10945,10857,9990,9973,10293,10575,10790
300,JABALPUR RLY.,359,345,397,515,574,396,397,365,529,496,615,975,1005
301,JHABUA,3416,3104,3371,2566,2505,2273,2295,1507,1589,1939,2028,2431,2498
302,KATNI,2285,2403,2557,2516,2534,2871,2917,2964,3038,3220,3228,3383,3803
303,KHANDWA,3911,3983,2791,3791,4380,3999,3170,3244,3158,3111,2914,2841,3336
304,KHARGON,3499,3696,4161,4367,3972,3918,4200,4144,4079,4121,3874,4171,4800
305,MANDLA,2122,1823,2147,1985,1462,1559,1653,1922,1654,1824,2210,2275,1906
306,MANDSAUR,2616,2812,2758,2997,3046,3165,3259,3360,3445,3203,3542,3469,3772
307,MORENA,5229,5149,4487,4976,5022,4880,5100,5062,4880,4912,5160,5431,5588
